,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
ESP-La Liga,1112,Athletic Club,Gorka Iraizoz,ESP,GK,30,1981,37,37,3330,37.0,52,1.41,216,164,75.9,12,13,13,8,21.6,,,,,
ESP-La Liga,1112,Athletic Club,Raúl Fernández,ESP,GK,23,1988,1,1,90,1.0,0,0.0,3,3,100.0,0,1,0,1,100.0,,,,,
ESP-La Liga,1112,Atlético Madrid,Sergio Asenjo,ESP,GK,22,1989,2,1,159,1.8,5,2.83,12,7,58.3,1,0,1,0,0.0,,,,,
ESP-La Liga,1112,Atlético Madrid,Thibaut Courtois,BEL,GK,19,1992,37,37,3261,36.2,41,1.13,135,94,69.6,14,11,11,15,40.5,,,,,
ESP-La Liga,1112,Barcelona,José Manuel Pinto,ESP,GK,35,1975,3,3,270,3.0,1,0.33,11,10,90.9,3,0,0,2,66.7,,,,,
ESP-La Liga,1112,Barcelona,Víctor Valdés,ESP,GK,29,1982,35,35,3150,35.0,28,0.8,95,67,70.5,25,7,3,17,48.6,,,,,
ESP-La Liga,1112,Espanyol,Cristian Álvarez,ARG,GK,25,1985,23,23,2059,22.9,34,1.49,113,79,69.9,8,3,11,7,30.4,,,,,
ESP-La Liga,1112,Espanyol,Kiko Casilla,ESP,GK,24,1986,16,15,1361,15.1,22,1.45,88,66,75.0,4,7,5,4,26.7,,,,,
ESP-La Liga,1112,Getafe,Jordi Codina,ESP,GK,29,1982,2,2,180,2.0,3,1.5,10,7,70.0,0,1,1,1,50.0,,,,,
ESP-La Liga,1112,Getafe,Miguel Ángel Moyá,ESP,GK,27,1984,36,36,3240,36.0,48,1.33,192,144,75.0,12,11,15,9,25.0,,,,,
ESP-La Liga,1112,Granada,Júlio César,BRA,GK,24,1986,16,16,1440,16.0,27,1.69,77,50,64.9,5,2,9,2,12.5,,,,,
ESP-La Liga,1112,Granada,Roberto,ESP,GK,32,1979,22,22,1980,22.0,29,1.32,134,105,78.4,7,4,11,6,27.3,,,,,
ESP-La Liga,1112,Levante,Gustavo Munúa,URU,GK,33,1978,37,37,3330,37.0,50,1.35,188,138,73.4,10,6,13,11,29.7,,,,,
ESP-La Liga,1112,Levante,Keylor Navas,CRC,GK,24,1986,1,1,90,1.0,0,0.0,5,5,100.0,1,0,0,1,100.0,,,,,
ESP-La Liga,1112,Mallorca,Dudu Aouate,ISR,GK,33,1977,37,37,3277,36.4,46,1.26,199,153,76.9,0,0,0,11,29.7,,,,,
ESP-La Liga,1112,Mallorca,Juan Calatayud,ESP,GK,31,1979,3,1,143,1.6,0,0.0,5,5,100.0,1,0,0,1,100.0,,,,,
ESP-La Liga,1112,Málaga,Carlos Kameni,CMR,GK,27,1984,9,8,769,8.5,9,1.05,22,13,59.1,4,1,4,3,37.5,,,,,
ESP-La Liga,1112,Málaga,Rubén,ESP,GK,27,1984,4,2,251,2.8,9,3.23,16,7,43.8,0,1,3,0,0.0,,,,,
ESP-La Liga,1112,Málaga,Willy Caballero,ARG,GK,29,1981,28,28,2402,26.7,28,1.05,121,93,76.9,10,8,7,9,32.1,,,,,
ESP-La Liga,1112,Osasuna,Andrés Fernández,ESP,GK,24,1986,38,37,3378,37.5,61,1.63,206,145,70.4,13,15,10,10,27.0,,,,,
ESP-La Liga,1112,Osasuna,Asier Riesgo,ESP,GK,27,1983,1,1,42,0.5,0,0.0,4,4,100.0,0,0,0,0,0.0,,,,,
ESP-La Liga,1112,Racing Sant,Daniel Sotres,ESP,GK,18,1993,2,1,134,1.5,5,3.36,15,10,66.7,0,0,1,0,0.0,,,,,
ESP-La Liga,1112,Racing Sant,Mario Fernández,ESP,GK,23,1988,13,12,1124,12.5,25,2.0,108,83,76.9,0,4,8,0,0.0,,,,,
ESP-La Liga,1112,Racing Sant,Toño,ESP,GK,31,1979,25,25,2162,24.0,33,1.37,138,105,76.1,4,11,10,10,40.0,,,,,
ESP-La Liga,1112,Rayo Vallecano,Dani Giménez,ESP,GK,28,1983,11,11,953,10.6,16,1.51,47,31,66.0,3,3,4,2,18.2,,,,,
ESP-La Liga,1112,Rayo Vallecano,David Cobeño,ESP,GK,29,1982,15,14,1297,14.4,29,2.01,79,50,63.3,4,1,10,5,35.7,,,,,
ESP-La Liga,1112,Rayo Vallecano,Joel Robles,ESP,GK,21,1990,13,13,1170,13.0,28,2.15,76,48,63.2,6,0,7,3,23.1,,,,,
ESP-La Liga,1112,Real Betis,Casto,ESP,GK,29,1982,22,22,1960,21.8,31,1.42,117,86,73.5,0,0,0,5,22.7,,,,,
ESP-La Liga,1112,Real Betis,Fabricio,ESP,GK,23,1987,15,15,1350,15.0,22,1.47,77,55,71.4,6,5,4,3,20.0,,,,,
ESP-La Liga,1112,Real Betis,Iñaki Goitia,ESP,GK,29,1982,2,1,110,1.2,3,2.45,6,3,50.0,1,0,1,0,0.0,,,,,
ESP-La Liga,1112,Real Madrid,Antonio Adán,ESP,GK,24,1987,1,1,90,1.0,1,1.0,6,5,83.3,1,0,0,0,0.0,,,,,
ESP-La Liga,1112,Real Madrid,Iker Casillas,ESP,GK,30,1981,37,37,3330,37.0,31,0.84,128,97,75.8,31,4,2,14,37.8,,,,,
ESP-La Liga,1112,Real Sociedad,Claudio Bravo,CHI,GK,28,1983,37,37,3330,37.0,51,1.38,195,144,73.8,12,10,15,12,32.4,,,,,
ESP-La Liga,1112,Real Sociedad,Eñaut Zubikarai,ESP,GK,27,1984,1,1,90,1.0,1,1.0,6,5,83.3,0,1,0,0,0.0,,,,,
ESP-La Liga,1112,Sevilla,Andrés Palop,ESP,GK,37,1973,13,13,1170,13.0,12,0.92,66,54,81.8,7,2,4,4,30.8,,,,,
ESP-La Liga,1112,Sevilla,Javi Varas,ESP,GK,28,1982,25,25,2250,25.0,35,1.4,125,90,72.0,6,9,10,9,36.0,,,,,
ESP-La Liga,1112,Sporting Gijón,Iván Cuéllar,ESP,GK,27,1984,1,1,90,1.0,4,4.0,12,8,66.7,0,0,1,0,0.0,,,,,
ESP-La Liga,1112,Sporting Gijón,Juan Pablo Colinas,ESP,GK,32,1978,37,37,3330,37.0,65,1.76,231,166,71.9,10,7,20,4,10.8,,,,,
ESP-La Liga,1112,Valencia,Diego Alves,BRA,GK,26,1985,12,12,1080,12.0,19,1.58,63,44,69.8,3,4,5,2,16.7,,,,,
ESP-La Liga,1112,Valencia,Vicente Guaita,ESP,GK,24,1987,26,26,2340,26.0,25,0.96,115,90,78.3,14,6,6,12,46.2,,,,,
ESP-La Liga,1112,Villarreal,César Sánchez,ESP,GK,39,1971,2,1,158,1.8,3,1.71,5,2,40.0,0,1,1,0,0.0,,,,,
ESP-La Liga,1112,Villarreal,Diego López,ESP,GK,29,1981,37,37,3262,36.2,50,1.38,190,140,73.7,9,13,14,9,24.3,,,,,
ESP-La Liga,1112,Zaragoza,Roberto,ESP,GK,25,1986,38,38,3420,38.0,61,1.61,220,159,72.3,12,7,19,10,26.3,,,,,
ESP-La Liga,1213,Athletic Club,Gorka Iraizoz,ESP,GK,31,1981,35,35,3150,35.0,61,1.74,216,155,71.8,12,8,15,8,22.9,,,,,
ESP-La Liga,1213,Athletic Club,Raúl Fernández,ESP,GK,24,1988,3,3,270,3.0,4,1.33,16,12,75.0,0,1,2,1,33.3,,,,,
ESP-La Liga,1213,Atlético Madrid,Sergio Asenjo,ESP,GK,23,1989,1,1,90,1.0,2,2.0,4,2,50.0,1,0,0,0,0.0,,,,,
ESP-La Liga,1213,Atlético Madrid,Thibaut Courtois,BEL,GK,20,1992,37,37,3330,37.0,29,0.78,120,91,75.8,22,7,8,20,54.1,,,,,
ESP-La Liga,1213,Barcelona,José Manuel Pinto,ESP,GK,36,1975,7,7,630,7.0,7,1.0,24,17,70.8,6,1,0,2,28.6,,,,,
ESP-La Liga,1213,Barcelona,Víctor Valdés,ESP,GK,30,1982,31,31,2790,31.0,33,1.06,93,60,64.5,26,3,2,8,25.8,,,,,
ESP-La Liga,1213,Celta Vigo,Javi Varas,ESP,GK,29,1982,35,35,3103,34.5,50,1.45,157,107,68.2,7,7,20,3,8.6,,,,,
ESP-La Liga,1213,Celta Vigo,Rubén Blanco,ESP,GK,17,1995,2,1,137,1.5,0,0.0,5,5,100.0,2,0,0,2,200.0,,,,,
ESP-La Liga,1213,Celta Vigo,Sergio Álvarez,ESP,GK,25,1986,2,2,180,2.0,2,1.0,5,3,60.0,1,0,1,1,50.0,,,,,
ESP-La Liga,1213,Dep La Coruña,Daniel Aranzubia,ESP,GK,32,1979,35,35,3084,34.3,67,1.96,179,112,62.6,8,9,18,7,20.0,,,,,
ESP-La Liga,1213,Dep La Coruña,Germán Lux,ARG,GK,30,1982,4,3,315,3.5,3,0.86,15,12,80.0,0,2,1,1,33.3,,,,,
ESP-La Liga,1213,Espanyol,Cristian Álvarez,ARG,GK,26,1985,18,18,1597,17.7,28,1.58,99,71,71.7,3,5,10,3,16.7,,,,,
ESP-La Liga,1213,Espanyol,Kiko Casilla,ESP,GK,25,1986,21,20,1823,20.3,24,1.18,84,60,71.4,8,6,6,9,45.0,,,,,
ESP-La Liga,1213,Getafe,Jordi Codina,ESP,GK,30,1982,7,6,619,6.9,13,1.89,43,30,69.8,1,2,4,2,33.3,,,,,
ESP-La Liga,1213,Getafe,Miguel Ángel Moyá,ESP,GK,28,1984,32,32,2801,31.1,44,1.41,154,110,71.4,12,6,13,7,21.9,,,,,
ESP-La Liga,1213,Granada,Roberto,ESP,GK,33,1979,14,14,1260,14.0,17,1.21,63,46,73.0,6,3,5,6,42.9,,,,,
ESP-La Liga,1213,Granada,Toño,ESP,GK,32,1979,24,24,2160,24.0,37,1.54,128,91,71.1,5,6,13,4,16.7,,,,,
ESP-La Liga,1213,Levante,Gustavo Munúa,URU,GK,34,1978,29,29,2610,29.0,47,1.62,148,101,68.2,11,6,12,8,27.6,,,,,
ESP-La Liga,1213,Levante,Keylor Navas,CRC,GK,25,1986,9,9,810,9.0,10,1.11,47,37,78.7,1,4,4,2,22.2,,,,,
ESP-La Liga,1213,Mallorca,Dudu Aouate,ISR,GK,34,1977,35,35,3121,34.7,63,1.82,167,104,62.3,9,8,18,5,14.3,,,,,
ESP-La Liga,1213,Mallorca,Juan Calatayud,ESP,GK,32,1979,3,3,270,3.0,7,2.33,17,10,58.8,0,1,2,0,0.0,,,,,
ESP-La Liga,1213,Mallorca,Rubén Miño,ESP,GK,23,1989,1,0,29,0.3,2,6.21,4,2,50.0,0,0,0,0,,,,,,
ESP-La Liga,1213,Málaga,Carlos Kameni,CMR,GK,28,1984,3,2,230,2.6,7,2.74,12,5,41.7,0,1,2,1,50.0,,,,,
ESP-La Liga,1213,Málaga,Willy Caballero,ARG,GK,30,1981,36,36,3190,35.4,43,1.21,150,107,71.3,16,8,11,12,33.3,,,,,
ESP-La Liga,1213,Osasuna,Andrés Fernández,ESP,GK,25,1986,37,37,3330,37.0,46,1.24,150,104,69.3,10,9,18,12,32.4,,,,,
ESP-La Liga,1213,Osasuna,Asier Riesgo,ESP,GK,28,1983,1,1,74,0.8,3,3.65,6,3,50.0,0,0,1,0,0.0,,,,,
ESP-La Liga,1213,Osasuna,Ricardo,ESP,GK,40,1971,1,0,16,0.2,1,5.63,2,1,50.0,0,0,0,0,,,,,,
ESP-La Liga,1213,Rayo Vallecano,Dani Giménez,ESP,GK,29,1983,2,1,111,1.2,4,3.24,5,1,20.0,0,0,1,0,0.0,,,,,
ESP-La Liga,1213,Rayo Vallecano,David Cobeño,ESP,GK,30,1982,8,8,695,7.7,13,1.68,36,23,63.9,4,0,4,1,12.5,,,,,
ESP-La Liga,1213,Rayo Vallecano,Rubén,ESP,GK,28,1984,30,29,2614,29.0,49,1.69,148,99,66.9,12,5,12,6,20.7,,,,,
ESP-La Liga,1213,Real Betis,Adrián,ESP,GK,25,1987,32,31,2869,31.9,46,1.44,155,109,70.3,13,7,12,11,35.5,,,,,
ESP-La Liga,1213,Real Betis,Casto,ESP,GK,30,1982,5,5,371,4.1,5,1.21,18,13,72.2,2,1,1,2,40.0,,,,,
ESP-La Liga,1213,Real Betis,Fabricio,ESP,GK,24,1987,2,2,180,2.0,5,2.5,13,8,61.5,1,0,1,0,0.0,,,,,
ESP-La Liga,1213,Real Madrid,Antonio Adán,ESP,GK,25,1987,3,3,186,2.1,3,1.45,8,5,62.5,1,0,1,1,33.3,,,,,
ESP-La Liga,1213,Real Madrid,Diego López,ESP,GK,30,1981,16,16,1440,16.0,20,1.25,75,55,73.3,11,2,3,2,12.5,,,,,
ESP-La Liga,1213,Real Madrid,Iker Casillas,ESP,GK,31,1981,19,18,1703,18.9,17,0.9,50,33,66.0,12,4,3,8,44.4,,,,,
ESP-La Liga,1213,Real Madrid,Jesús,ESP,GK,24,1988,1,1,90,1.0,2,2.0,14,12,85.7,1,0,0,0,0.0,,,,,
ESP-La Liga,1213,Real Sociedad,Claudio Bravo,CHI,GK,29,1983,31,31,2790,31.0,40,1.29,142,102,71.8,16,10,5,9,29.0,,,,,
ESP-La Liga,1213,Real Sociedad,Eñaut Zubikarai,ESP,GK,28,1984,7,7,630,7.0,9,1.29,26,17,65.4,2,2,3,1,14.3,,,,,
ESP-La Liga,1213,Sevilla,Andrés Palop,ESP,GK,38,1973,16,15,1407,15.6,22,1.41,71,49,69.0,6,5,5,5,33.3,,,,,
ESP-La Liga,1213,Sevilla,Beto,POR,GK,30,1982,14,14,1260,14.0,21,1.5,62,41,66.1,5,2,7,2,14.3,,,,,
ESP-La Liga,1213,Sevilla,Diego López,ESP,GK,30,1981,8,8,663,7.4,11,1.49,27,16,59.3,3,2,2,1,12.5,,,,,
ESP-La Liga,1213,Sevilla,Julián Cuesta,ESP,GK,21,1991,1,1,90,1.0,0,0.0,3,3,100.0,1,0,0,1,100.0,,,,,
ESP-La Liga,1213,Valencia,Diego Alves,BRA,GK,27,1985,24,24,2160,24.0,39,1.62,119,80,67.2,11,5,8,5,20.8,,,,,
ESP-La Liga,1213,Valencia,Vicente Guaita,ESP,GK,25,1987,14,14,1260,14.0,15,1.07,53,38,71.7,8,3,3,6,42.9,,,,,
ESP-La Liga,1213,Valladolid,Dani Hernández,VEN,GK,26,1985,24,24,2160,24.0,37,1.54,127,90,70.9,7,7,10,6,25.0,,,,,
ESP-La Liga,1213,Valladolid,Jaime,ESP,GK,31,1980,14,14,1260,14.0,21,1.5,81,60,74.1,4,3,7,3,21.4,,,,,
ESP-La Liga,1213,Zaragoza,Leo Franco,ARG,GK,35,1977,4,4,347,3.9,9,2.33,15,6,40.0,0,2,2,1,25.0,,,,,
ESP-La Liga,1213,Zaragoza,Pablo Alcolea,ESP,GK,23,1989,2,1,103,1.1,2,1.75,5,3,60.0,0,0,1,0,0.0,,,,,
ESP-La Liga,1213,Zaragoza,Roberto,ESP,GK,26,1986,33,33,2970,33.0,51,1.55,144,93,64.6,9,5,19,5,15.2,,,,,
ESP-La Liga,1314,Almería,Esteban,ESP,GK,38,1975,38,38,3420,38.0,71,1.87,214,143,66.8,11,7,20,10,26.3,,,,,
ESP-La Liga,1314,Athletic Club,Gorka Iraizoz,ESP,GK,32,1981,33,33,2925,32.5,32,0.98,113,81,71.7,17,8,7,9,27.3,,,,,
ESP-La Liga,1314,Athletic Club,Iago Herrerín,ESP,GK,25,1988,6,5,495,5.5,7,1.27,25,18,72.0,3,2,1,3,60.0,,,,,
ESP-La Liga,1314,Atlético Madrid,Daniel Aranzubia,ESP,GK,33,1979,1,1,84,0.9,1,1.07,3,2,66.7,0,0,1,0,0.0,,,,,
ESP-La Liga,1314,Atlético Madrid,Gabi,ESP,MF,30,1983,1,0,6,34.6,1,15.0,1,0,0.0,0,0,0,0,,,,,,
ESP-La Liga,1314,Atlético Madrid,Thibaut Courtois,BEL,GK,21,1992,37,37,3330,37.0,24,0.65,96,72,75.0,28,6,3,20,54.1,,,,,
ESP-La Liga,1314,Barcelona,José Manuel Pinto,ESP,GK,37,1975,13,12,1148,12.8,12,0.94,41,29,70.7,7,3,2,3,25.0,,,,,
ESP-La Liga,1314,Barcelona,Víctor Valdés,ESP,GK,31,1982,26,26,2272,25.2,21,0.83,89,68,76.4,20,3,3,12,46.2,,,,,
ESP-La Liga,1314,Celta Vigo,Sergio Álvarez,ESP,GK,26,1986,3,3,270,3.0,2,0.67,22,20,90.9,2,0,1,2,66.7,,,,,
ESP-La Liga,1314,Celta Vigo,Yoel,ESP,GK,24,1988,35,35,3150,35.0,52,1.49,166,114,68.7,12,7,16,7,20.0,,,,,
ESP-La Liga,1314,Elche,Manu Herrera,ESP,GK,31,1981,30,29,2625,29.2,35,1.2,125,90,72.0,7,10,12,9,31.0,,,,,
ESP-La Liga,1314,Elche,Toño,ESP,GK,33,1979,9,9,795,8.8,15,1.7,34,19,55.9,2,3,4,2,22.2,,,,,
ESP-La Liga,1314,Espanyol,Germán Parreño,ESP,GK,20,1993,1,1,90,1.0,4,4.0,7,3,42.9,0,0,1,0,0.0,,,,,
ESP-La Liga,1314,Espanyol,Kiko Casilla,ESP,GK,26,1986,37,37,3323,36.9,47,1.27,154,107,69.5,11,9,17,9,24.3,,,,,
ESP-La Liga,1314,Getafe,Jordi Codina,ESP,GK,31,1982,9,7,665,7.4,11,1.49,38,27,71.1,1,2,4,2,28.6,,,,,
ESP-La Liga,1314,Getafe,Júlio César,BRA,GK,26,1986,5,5,448,5.0,3,0.6,19,16,84.2,3,2,0,2,40.0,,,,,
ESP-La Liga,1314,Getafe,Miguel Ángel Moyá,ESP,GK,29,1984,26,26,2307,25.6,40,1.56,138,98,71.0,7,5,14,6,23.1,,,,,
ESP-La Liga,1314,Granada,Orestis Karnezis,GRE,GK,28,1985,6,6,540,6.0,13,2.17,42,29,69.0,1,1,4,1,16.7,,,,,
ESP-La Liga,1314,Granada,Roberto,ESP,GK,34,1979,32,32,2880,32.0,43,1.34,166,123,74.1,11,4,17,11,34.4,,,,,
ESP-La Liga,1314,Levante,Javi Jiménez,ESP,GK,26,1987,2,1,170,1.9,4,2.12,9,5,55.6,0,0,1,0,0.0,,,,,
ESP-La Liga,1314,Levante,Keylor Navas,CRC,GK,26,1986,37,37,3249,36.1,39,1.08,192,153,79.7,12,12,13,16,43.2,,,,,
ESP-La Liga,1314,Málaga,Willy Caballero,ARG,GK,31,1981,38,38,3420,38.0,46,1.21,178,132,74.2,12,9,17,12,31.6,,,,,
ESP-La Liga,1314,Osasuna,Andrés Fernández,ESP,GK,26,1986,37,37,3299,36.7,61,1.66,178,117,65.7,9,8,19,8,21.6,,,,,
ESP-La Liga,1314,Osasuna,Asier Riesgo,ESP,GK,29,1983,2,1,120,1.3,1,0.75,6,5,83.3,1,1,0,1,100.0,,,,,
ESP-La Liga,1314,Rayo Vallecano,David Cobeño,ESP,GK,31,1982,5,4,426,4.7,16,3.38,31,15,48.4,1,1,3,1,25.0,,,,,
ESP-La Liga,1314,Rayo Vallecano,Rubén,ESP,GK,29,1984,34,34,2994,33.3,64,1.92,162,98,60.5,12,3,18,9,26.5,,,,,
ESP-La Liga,1314,Real Betis,Antonio Adán,ESP,GK,26,1987,17,17,1522,16.9,31,1.83,102,71,69.6,4,2,11,3,17.6,,,,,
ESP-La Liga,1314,Real Betis,Guillermo Sara,ARG,GK,25,1987,15,15,1305,14.5,26,1.79,93,67,72.0,2,4,8,4,26.7,,,,,
ESP-La Liga,1314,Real Betis,Pedro López,ESP,GK,18,1995,1,0,8,0.1,0,0.0,0,0,,0,0,0,0,,,,,,
ESP-La Liga,1314,Real Betis,Stephan Andersen,DEN,GK,31,1981,7,6,585,6.5,21,3.23,47,26,55.3,0,1,6,1,16.7,,,,,
ESP-La Liga,1314,Real Madrid,Diego López,ESP,GK,31,1981,36,36,3240,36.0,36,1.0,123,87,70.7,26,5,5,16,44.4,,,,,
ESP-La Liga,1314,Real Madrid,Iker Casillas,ESP,GK,32,1981,2,2,180,2.0,2,1.0,4,2,50.0,1,1,0,0,0.0,,,,,
ESP-La Liga,1314,Real Sociedad,Claudio Bravo,CHI,GK,30,1983,37,37,3330,37.0,54,1.46,178,124,69.7,16,11,10,12,32.4,,,,,
ESP-La Liga,1314,Real Sociedad,Eñaut Zubikarai,ESP,GK,29,1984,1,1,90,1.0,1,1.0,7,6,85.7,0,0,1,0,0.0,,,,,
ESP-La Liga,1314,Sevilla,Beto,POR,GK,31,1982,33,33,2925,32.5,46,1.42,145,99,68.3,16,7,9,8,24.2,,,,,
ESP-La Liga,1314,Sevilla,Javi Varas,ESP,GK,30,1982,6,5,495,5.5,6,1.09,26,20,76.9,2,2,2,1,20.0,,,,,
ESP-La Liga,1314,Valencia,Diego Alves,BRA,GK,28,1985,27,27,2280,25.3,32,1.26,109,77,70.6,11,5,10,10,37.0,,,,,
ESP-La Liga,1314,Valencia,Vicente Guaita,ESP,GK,26,1987,13,11,1140,12.7,21,1.66,68,47,69.1,2,5,5,2,18.2,,,,,
ESP-La Liga,1314,Valladolid,Diego Mariño,ESP,GK,23,1990,28,28,2520,28.0,48,1.71,151,103,68.2,5,11,12,8,28.6,,,,,
ESP-La Liga,1314,Valladolid,Jaime,ESP,GK,32,1980,10,10,900,10.0,12,1.2,45,33,73.3,2,4,4,4,40.0,,,,,
ESP-La Liga,1314,Villarreal,Juan Carlos,ESP,GK,26,1987,3,3,270,3.0,3,1.0,9,6,66.7,2,0,1,1,33.3,,,,,
ESP-La Liga,1314,Villarreal,Sergio Asenjo,ESP,GK,24,1989,35,35,3150,35.0,41,1.17,127,86,67.7,15,8,12,9,25.7,,,,,
ESP-La Liga,1415,Almería,Julián Cuesta,ESP,GK,23,1991,15,15,1350,15.0,26,1.73,96,70,72.9,4,3,8,4,26.7,,,,,
ESP-La Liga,1415,Almería,Rubén,ESP,GK,30,1984,23,23,2070,23.0,38,1.65,117,79,67.5,4,5,14,4,17.4,,,,,
ESP-La Liga,1415,Athletic Club,Gorka Iraizoz,ESP,GK,33,1981,34,34,3060,34.0,38,1.12,129,91,70.5,13,8,13,12,35.3,,,,,
ESP-La Liga,1415,Athletic Club,Iago Herrerín,ESP,GK,26,1988,4,4,360,4.0,3,0.75,11,8,72.7,2,2,0,2,50.0,,,,,
ESP-La Liga,1415,Atlético Madrid,Jan Oblak,SVN,GK,21,1993,11,11,990,11.0,6,0.55,24,18,75.0,6,4,1,7,63.6,,,,,
ESP-La Liga,1415,Atlético Madrid,Miguel Ángel Moyá,ESP,GK,30,1984,27,27,2430,27.0,23,0.85,71,48,67.6,17,5,5,12,44.4,,,,,
ESP-La Liga,1415,Barcelona,Claudio Bravo,CHI,GK,31,1983,37,37,3330,37.0,19,0.51,89,70,78.7,30,3,4,23,62.2,,,,,
ESP-La Liga,1415,Barcelona,Jordi Masip,ESP,GK,25,1989,1,1,90,1.0,2,2.0,2,0,0.0,0,1,0,0,0.0,,,,,
ESP-La Liga,1415,Celta Vigo,Rubén Blanco,ESP,GK,19,1995,1,0,70,0.8,2,2.57,2,0,0.0,1,0,0,0,,,,,,
ESP-La Liga,1415,Celta Vigo,Sergio Álvarez,ESP,GK,27,1986,38,38,3350,37.2,42,1.13,146,104,71.2,12,12,13,11,28.9,,,,,
ESP-La Liga,1415,Córdoba,Juan Carlos,ESP,GK,26,1988,32,32,2880,32.0,56,1.75,150,94,62.7,3,11,18,7,21.9,,,,,
ESP-La Liga,1415,Córdoba,Mikel Saizar,ESP,GK,31,1983,6,6,540,6.0,12,2.0,37,25,67.6,0,0,6,0,0.0,,,,,
ESP-La Liga,1415,Dep La Coruña,Fabricio,ESP,GK,26,1987,31,31,2790,31.0,41,1.32,145,104,71.7,6,13,12,11,35.5,,,,,
ESP-La Liga,1415,Dep La Coruña,Germán Lux,ARG,GK,32,1982,7,7,630,7.0,19,2.71,40,21,52.5,1,1,5,1,14.3,,,,,
ESP-La Liga,1415,Eibar,Jaime,ESP,GK,33,1980,5,5,450,5.0,7,1.4,27,20,74.1,0,1,4,1,20.0,,,,,
ESP-La Liga,1415,Eibar,Xabi Irureta,ESP,GK,28,1986,33,33,2970,33.0,48,1.45,166,118,71.1,9,7,17,7,21.2,,,,,
ESP-La Liga,1415,Elche,Manu Herrera,ESP,GK,32,1981,7,6,559,6.2,15,2.42,41,26,63.4,1,1,5,0,0.0,,,,,
ESP-La Liga,1415,Elche,Przemysław Tytoń,POL,GK,27,1987,32,32,2856,31.7,47,1.48,139,92,66.2,10,7,14,10,31.3,,,,,
ESP-La Liga,1415,Espanyol,Kiko Casilla,ESP,GK,27,1986,37,37,3280,36.4,48,1.32,160,112,70.0,13,10,13,13,35.1,,,,,
ESP-La Liga,1415,Espanyol,Pau López,ESP,GK,19,1994,2,1,140,1.6,3,1.93,7,4,57.1,0,0,2,0,0.0,,,,,
ESP-La Liga,1415,Getafe,Jonathan López,ESP,GK,33,1981,4,4,360,4.0,6,1.5,17,11,64.7,2,0,2,0,0.0,,,,,
ESP-La Liga,1415,Getafe,Jordi Codina,ESP,GK,32,1982,5,5,450,5.0,14,2.8,35,21,60.0,1,0,4,0,0.0,,,,,
ESP-La Liga,1415,Getafe,Vicente Guaita,ESP,GK,27,1987,29,29,2610,29.0,44,1.52,122,78,63.9,7,7,15,5,17.2,,,,,
ESP-La Liga,1415,Granada,Oier Olazábal,ESP,GK,24,1989,14,14,1260,14.0,27,1.93,63,36,57.1,3,4,7,4,28.6,,,,,
ESP-La Liga,1415,Granada,Roberto,ESP,GK,35,1979,23,23,2070,23.0,36,1.57,95,59,62.1,3,10,10,7,30.4,,,,,
ESP-La Liga,1415,Granada,Stole Dimitrievski,MKD,GK,20,1993,1,1,90,1.0,1,1.0,1,0,0.0,1,0,0,0,0.0,,,,,
ESP-La Liga,1415,Levante,Diego Mariño,ESP,GK,24,1990,32,32,2880,32.0,55,1.72,150,95,63.3,8,9,15,5,15.6,,,,,
ESP-La Liga,1415,Levante,Jesús,ESP,GK,26,1988,6,6,540,6.0,12,2.0,30,18,60.0,1,1,4,2,33.3,,,,,
ESP-La Liga,1415,Málaga,Carlos Kameni,CMR,GK,30,1984,38,38,3420,38.0,48,1.26,152,104,68.4,14,8,16,10,26.3,,,,,
ESP-La Liga,1415,Rayo Vallecano,Cristian Álvarez,ARG,GK,28,1985,17,16,1440,16.0,33,2.06,78,45,57.7,6,2,8,4,25.0,,,,,
ESP-La Liga,1415,Rayo Vallecano,David Cobeño,ESP,GK,32,1982,3,2,246,2.7,5,1.83,13,8,61.5,1,0,2,1,50.0,,,,,
ESP-La Liga,1415,Rayo Vallecano,Toño,ESP,GK,34,1979,21,20,1724,19.2,30,1.57,89,59,66.3,8,2,9,8,40.0,,,,,
ESP-La Liga,1415,Real Madrid,Iker Casillas,ESP,GK,33,1981,32,32,2880,32.0,35,1.09,118,83,70.3,24,2,6,12,37.5,,,,,
ESP-La Liga,1415,Real Madrid,Keylor Navas,CRC,GK,27,1986,6,6,540,6.0,3,0.5,14,11,78.6,6,0,0,3,50.0,,,,,
ESP-La Liga,1415,Real Sociedad,Eñaut Zubikarai,ESP,GK,30,1984,16,16,1440,16.0,24,1.5,78,54,69.2,3,5,8,2,12.5,,,,,
ESP-La Liga,1415,Real Sociedad,Gerónimo Rulli,ARG,GK,22,1992,22,22,1980,22.0,27,1.23,92,65,70.7,8,8,6,6,27.3,,,,,
ESP-La Liga,1415,Sevilla,Beto,POR,GK,32,1982,18,18,1444,16.0,19,1.18,58,39,67.2,10,3,5,8,44.4,,,,,
ESP-La Liga,1415,Sevilla,Mariano Barbosa,ARG,GK,30,1984,2,1,164,1.8,2,1.1,3,1,33.3,1,1,0,0,0.0,,,,,
